185,120,495,118,496,170,185,172
212,1691,356,1690,356,1715,213,1716
101,336,274,335,274,370,101,372
299,1722,427,1722,427,1748,299,1748
115,565,296,567,295,601,114,599
52,1665,138,1664,138,1684,53,1685
116,653,220,651,220,682,117,684
700,1747,822,1748,822,1764,700,1763
117,606,214,607,214,651,116,650
234,652,335,650,336,690,235,692
291,335,398,334,398,377,291,378
312,568,442,566,442,605,312,607
222,610,323,611,322,647,221,646
362,1692,457,1691,457,1716,362,1717
616,440,698,440,699,481,617,482
23,613,83,613,84,654,24,655
485,571,557,569,558,597,485,598
597,1759,655,1758,655,1775,597,1776
236,1723,296,1722,297,1747,236,1748
4,1664,48,1665,47,1686,3,1684
535,1759,595,1760,595,1776,535,1775
457,437,531,438,531,478,456,477
543,451,604,450,604,473,543,474
